Name	RawCount	Condition	Log10 Count
hsa-miR-6873-3p	4.295200059	Young	0.632983397
hsa-miR-2277-5p	4.261197842	Young	0.629531698
hsa-miR-512-3p	4.139308713	Young	0.616927818
hsa-miR-3150a-5p	4.100709644	Young	0.61285902
hsa-miR-6883-3p	4.03495518	Young	0.605838715
hsa-miR-576-5p	3.938275294	Young	0.595306071
hsa-miR-548aq-3p	3.847973532	Young	0.585232076
hsa-miR-34c-5p	3.819984316	Young	0.58206158
hsa-miR-409-5p	3.796407106	Young	0.579372778
hsa-miR-455-3p	3.785379355	Young	0.578109409
hsa-miR-135a-5p	3.766016011	Young	0.575882162
hsa-miR-580-3p	3.764425885	Young	0.575698751
hsa-miR-296-3p	3.69687883	Young	0.567835216
hsa-miR-200b-3p	3.669703469	Young	0.564630972
hsa-miR-491-5p	3.517625708	Young	0.546249627
hsa-miR-223-5p	3.510640518	Young	0.545386361
hsa-miR-5699-3p	3.485349885	Young	0.542246382
hsa-miR-5193	3.473631575	Young	0.540783754
hsa-miR-152-5p	3.461326163	Young	0.539242525
hsa-miR-3180-3p	3.430847254	Young	0.535401383
hsa-miR-15b-3p	3.403746736	Young	0.531957238
hsa-miR-584-5p	3.359541492	Young	0.526280009
hsa-miR-450a-5p	3.351656733	Young	0.525259533
hsa-miR-655-3p	3.3337957	Young	0.522938982
hsa-miR-874-3p	3.219318308	Young	0.507763919
hsa-miR-548ar-3p	3.166397156	Young	0.500565387
hsa-miR-526b-5p	3.113563818	Young	0.493257772
hsa-miR-877-3p	3.040065186	Young	0.482882896
hsa-miR-23a-5p	3.027388107	Young	0.4810681
hsa-miR-3688-3p	3.019052514	Young	0.479870667
hsa-miR-1298-5p	2.965005041	Young	0.472025436
hsa-miR-598-3p	2.941212396	Young	0.468526388
hsa-miR-548bc	2.903224719	Young	0.462880653
hsa-miR-4732-5p	2.737858487	Young	0.437410997
hsa-miR-410-3p	2.674809152	Young	0.4272928
hsa-miR-3129-3p	2.674281251	Young	0.42720708
hsa-let-7i-3p	2.664148744	Young	0.425558469
hsa-miR-221-5p	2.583689211	Young	0.412240272
hsa-miR-676-3p	2.561090736	Young	0.408424965
hsa-miR-522-3p	2.448649981	Young	0.38892671
hsa-miR-545-3p	2.400525473	Young	0.380306319
hsa-miR-548ae-5p	2.388666572	Young	0.378155532
hsa-miR-654-3p	2.323292422	Young	0.366103876
hsa-miR-188-5p	2.30347392	Young	0.362383299
hsa-miR-18a-5p	2.29318518	Young	0.360439126
hsa-miR-23a-3p	2.269396859	Young	0.355910449
hsa-miR-335-5p	2.220900683	Young	0.346529138
hsa-miR-99b-5p	2.190578006	Young	0.340558723
hsa-miR-6511a-3p	2.161077831	Young	0.334670408
hsa-miR-3116	2.060643562	Young	0.314002877
hsa-miR-24-2-5p	2.056889178	Young	0.313210893
hsa-let-7b-3p	2.055538776	Young	0.312925674
hsa-miR-34c-3p	2.033316292	Young	0.30820494
hsa-miR-146b-3p	2.029346473	Young	0.307356201
hsa-miR-154-5p	1.994286354	Young	0.299787517
hsa-miR-342-5p	1.955476174	Young	0.291252529
hsa-miR-9903	1.941213292	Young	0.288073256
hsa-miR-454-5p	1.927929145	Young	0.285091069
hsa-miR-302b-3p	1.918247473	Young	0.282904635
hsa-miR-320c	1.89842897	Young	0.278394353
hsa-miR-3124-5p	1.89842897	Young	0.278394353
hsa-miR-1468-5p	1.868928795	Young	0.271592755
hsa-miR-548e-3p	1.839428621	Young	0.26468294
hsa-miR-3605-3p	1.832071762	Young	0.262942481
hsa-miR-548ay-5p	1.785533057	Young	0.251767895
hsa-miR-369-5p	1.780956171	Young	0.250653232
hsa-miR-432-5p	1.773071412	Young	0.248726228
hsa-miR-3158-3p	1.770295764	Young	0.24804583
hsa-miR-5010-3p	1.756032882	Young	0.244532644
hsa-miR-1273c	1.738994351	Young	0.240298171
hsa-miR-3177-3p	1.675417115	Young	0.224122948
hsa-miR-3157-3p	1.596598263	Young	0.203195652
hsa-let-7e-3p	1.592021377	Young	0.201948895
hsa-miR-653-3p	1.584664518	Young	0.199937334
hsa-miR-377-5p	1.579559732	Young	0.198536054
hsa-miR-5690	1.574982846	Young	0.197275828
hsa-miR-95-5p	1.56844849	Young	0.195470261
hsa-miR-301a-5p	1.545482671	Young	0.18906414
hsa-miR-505-3p	1.538125813	Young	0.186991861
hsa-miR-10395-3p	1.483702349	Young	0.171346784
hsa-miR-6806-3p	1.456982147	Young	0.16345423
hsa-miR-208a-3p	1.454202174	Young	0.16262479
hsa-miR-1343-3p	1.445048402	Young	0.159882394
hsa-miR-135b-5p	1.440315284	Young	0.158457569
hsa-miR-424-5p	1.440315284	Young	0.158457569
hsa-miR-520a-3p	1.405866555	Young	0.147944099
hsa-miR-92a-1-5p	1.38326808	Young	0.140906355
hsa-miR-210-5p	1.381471166	Young	0.140341825
hsa-miR-412-5p	1.363453901	Young	0.134640459
hsa-miR-589-5p	1.32426773	Young	0.121975796
hsa-miR-10527-5p	1.302652314	Young	0.114828515
hsa-miR-6500-3p	1.290190669	Young	0.110653897
hsa-miR-122-5p	1.273152139	Young	0.104880304
hsa-miR-7974	1.231190319	Young	0.090325192
hsa-miR-331-3p	1.226613433	Young	0.088707717
hsa-miR-99a-3p	1.223833461	Young	0.087722323
hsa-miR-539-5p	1.223833461	Young	0.087722323
hsa-miR-487b-3p	1.17271787	Young	0.069193543
hsa-miR-346	1.160256225	Young	0.064553907
hsa-miR-30e-5p	1.15927749	Young	0.064187403
hsa-miR-28-3p	1.155679339	Young	0.062837349
hsa-miR-518b	1.128959136	Young	0.052678223
hsa-miR-3127-5p	1.127976078	Young	0.052299889
hsa-miR-616-5p	1.126179164	Young	0.051607488
hsa-miR-410-5p	1.073106103	Young	0.030642665
hsa-miR-147b-5p	1.064398842	Young	0.027104393
hsa-miR-184	1.059821956	Young	0.025232912
hsa-miR-548k	1.030321781	Young	0.012972881
hsa-miR-26b-3p	1.016063223	Young	0.006920732
hsa-miR-203a-3p	1.016063223	Young	0.006920732
hsa-miR-885-3p	0.988359961	Young	-0.005084856
hsa-miR-3690	0.960210189	Young	-0.01763369
hsa-miR-4431	0.960210189	Young	-0.01763369
hsa-miR-4659a-5p	0.960210189	Young	-0.01763369
hsa-miR-548y	0.960210189	Young	-0.01763369
hsa-miR-129-5p	0.954282901	Young	-0.020322858
hsa-miR-520a-5p	0.951502928	Young	-0.021589871
hsa-miR-579-5p	0.897607364	Young	-0.046913593
hsa-miR-376c-3p	0.887925692	Young	-0.051623377
hsa-miR-6747-3p	0.870887162	Young	-0.060038112
hsa-miR-326	0.870887162	Young	-0.060038112
hsa-let-7f-1-3p	0.853848631	Young	-0.068619113
hsa-miR-4672	0.838607015	Young	-0.076441509
hsa-miR-6842-3p	0.836810101	Young	-0.077373086
hsa-miR-641	0.824348456	Young	-0.083889171
hsa-miR-494-3p	0.804529954	Young	-0.094457782
hsa-miR-1843	0.775029779	Young	-0.11068161
hsa-miR-1185-1-3p	0.770452893	Young	-0.11325391
hsa-miR-371a-5p	0.76767292	Young	-0.114823779
hsa-miR-548v	0.757991248	Young	-0.120335809
hsa-miR-422a	0.757991248	Young	-0.120335809
hsa-miR-619-5p	0.745529604	Young	-0.127535107
hsa-miR-6511b-3p	0.745529604	Young	-0.127535107
hsa-miR-320b	0.728491073	Young	-0.137575766
hsa-miR-6741-3p	0.723914187	Young	-0.140312912
hsa-miR-3681-5p	0.722935452	Young	-0.140900477
hsa-miR-935	0.69163404	Young	-0.16012364
hsa-miR-3934-5p	0.679172395	Young	-0.168019974
hsa-miR-7113-5p	0.662133865	Young	-0.179054199
hsa-miR-6716-3p	0.662133865	Young	-0.179054199
hsa-miR-3135a	0.662133865	Young	-0.179054199
hsa-miR-194-3p	0.657556979	Young	-0.182066608
hsa-miR-548j-3p	0.657556979	Young	-0.182066608
hsa-miR-4709-3p	0.637738476	Young	-0.19535738
hsa-miR-93-3p	0.611018274	Young	-0.213945801
hsa-miR-11400	0.610039539	Young	-0.214642016
hsa-miR-625-5p	0.608238301	Young	-0.215926235
hsa-miR-383-5p	0.591199771	Young	-0.228265743
hsa-miR-3915	0.581518099	Young	-0.235436764
hsa-miR-519c-5p	0.581518099	Young	-0.235436764
hsa-miR-3928-3p	0.578738126	Young	-0.237517906
hsa-miR-520c-3p	0.564479568	Young	-0.248351773
hsa-miR-4705	0.549237951	Young	-0.260239461
hsa-miR-4755-5p	0.532199421	Young	-0.273925602
hsa-miR-337-5p	0.532199421	Young	-0.273925602
hsa-miR-331-5p	0.532199421	Young	-0.273925602
hsa-miR-548j-5p	0.532199421	Young	-0.273925602
hsa-miR-2116-3p	0.519737776	Young	-0.284215716
hsa-miR-4524a-3p	0.519737776	Young	-0.284215716
hsa-miR-324-5p	0.51516089	Young	-0.288057115
hsa-miR-520h	0.502699246	Young	-0.298691766
hsa-miR-6866-5p	0.502699246	Young	-0.298691766
hsa-miR-212-3p	0.49812236	Young	-0.302663963
hsa-miR-4473	0.49812236	Young	-0.302663963
hsa-miR-5010-5p	0.49812236	Young	-0.302663963
hsa-miR-4638-5p	0.485660716	Young	-0.313667025
hsa-miR-299-5p	0.485660716	Young	-0.313667025
hsa-miR-98-3p	0.480105095	Young	-0.318663686
hsa-miR-26a-1-3p	0.480105095	Young	-0.318663686
hsa-miR-16-1-3p	0.478303857	Young	-0.320296117
hsa-miR-5588-5p	0.478303857	Young	-0.320296117
hsa-miR-891a-5p	0.478303857	Young	-0.320296117
hsa-miR-30b-5p	0.468622185	Young	-0.329177155
hsa-miR-1-5p	0.468622185	Young	-0.329177155
hsa-miR-200a-5p	0.451583655	Young	-0.345261786
hsa-miR-208a-5p	0.451583655	Young	-0.345261786
hsa-miR-3912-3p	0.448803682	Young	-0.347943589
hsa-miR-6515-5p	0.431765152	Young	-0.364752413
hsa-miR-5581-3p	0.431765152	Young	-0.364752413
hsa-miR-200b-5p	0.431765152	Young	-0.364752413
hsa-miR-299-3p	0.431765152	Young	-0.364752413
hsa-miR-6755-5p	0.419303507	Young	-0.377471505
hsa-miR-19a-3p	0.402264977	Young	-0.395487778
hsa-miR-3605-5p	0.402264977	Young	-0.395487778
hsa-miR-616-3p	0.402264977	Young	-0.395487778
hsa-miR-642a-5p	0.402264977	Young	-0.395487778
hsa-miR-129-2-3p	0.389803332	Young	-0.409154453
hsa-miR-548ag	0.389803332	Young	-0.409154453
hsa-miR-6736-5p	0.389803332	Young	-0.409154453
hsa-miR-6783-3p	0.389803332	Young	-0.409154453
hsa-miR-664b-3p	0.385226446	Young	-0.414283906
hsa-miR-181c-5p	0.385226446	Young	-0.414283906
hsa-miR-5680	0.355726271	Young	-0.44888406
hsa-miR-6506-5p	0.355726271	Young	-0.44888406
hsa-miR-3133	0.355726271	Young	-0.44888406
hsa-miR-103a-2-5p	0.338687741	Young	-0.470200523
hsa-miR-3202	0.338687741	Young	-0.470200523
hsa-miR-154-3p	0.338687741	Young	-0.470200523
hsa-miR-3191-3p	0.338687741	Young	-0.470200523
hsa-miR-3194-3p	0.338687741	Young	-0.470200523
hsa-miR-518e-3p	0.338687741	Young	-0.470200523
hsa-miR-130a-3p	0.338687741	Young	-0.470200523
hsa-miR-6859-5p	0.318869238	Young	-0.496387376
hsa-miR-4775	0.318869238	Young	-0.496387376
hsa-miR-7854-3p	0.318869238	Young	-0.496387376
